what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.team.SimplePush",1320683281604
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320683281897
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320683293415
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320683294765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320683299984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320683303444
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320683374786
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320683387905
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320683788867
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320683795798
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320684428295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320684429398
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320684449047
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320684457903
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320684459456
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320684462763
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320686390695
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320686395852
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320686399029
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1320686410135
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320686413920
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1320686415350
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320686417525
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320686581540
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320686601456
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320686611803
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320686611924
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320686670569
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1320686693549
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320686741169
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320686806894
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320686813116
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1320686832981
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1320686847356
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320686847576
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320686852615
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320686853787
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1320686860099
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320686860557
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320686860953
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1320686866621
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320686873173
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320686907961
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320686962510
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320686968220
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1320686998971
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1320686999488
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1320687003493
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1320687012005
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320687023889
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320687025262
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320687026875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320687028419
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320687030136
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320687046012
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320687049554
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320688087604
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320688088233
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320689004092
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320689007609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320699378678
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320699382901
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320700660961
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320700675555
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320700726861
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320701044835
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1320701067504
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1320701070236
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320701070311
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320701077478
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1320701098642
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320701098646
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320702063179
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320702064108
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320707229848
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320707236766
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320707308444
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1320707320589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320707365494
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320707365551
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1320707376434
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320707378763
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320707501272
